KW PRAWO I SPRAWIEDLIWOŚĆ;2;3;WOŹNIAK Krzysztof Stanisław;Strzegom;65
KW PRAWO I SPRAWIEDLIWOŚĆ;2;4;KUŹMA Józef;Strzegom;78
KW PRAWO I SPRAWIEDLIWOŚĆ;2;5;BODZIANY Rafał;Strzegom;46
KW PRAWO I SPRAWIEDLIWOŚĆ;2;6;GRYNIEWICZ Anna Regina;Strzegom;43
KW PRAWO I SPRAWIEDLIWOŚĆ;2;7;WOŚKO Maria;Strzegom;65
KW PRAWO I SPRAWIEDLIWOŚĆ;2;8;TELEGA Daniela Jadwiga;Strzegom;73
KW PRAWO I SPRAWIEDLIWOŚĆ;2;9;FRANCZAK Krystyna Maria;Strzegom;69
KW PRAWO I SPRAWIEDLIWOŚĆ;3;1;KOŁODZIEJ Zbigniew Witold;Jaroszów;50
KW PRAWO I SPRAWIEDLIWOŚĆ;3;2;CHMIEL Mieczysław;Goczałków;65
KW PRAWO I SPRAWIEDLIWOŚĆ;3;3;KOLANO Marek Ryszard;Jaroszów;68
KW PRAWO I SPRAWIEDLIWOŚĆ;3;4;KARDELA Aleksandra Krystyna;Strzegom;26
KW PRAWO I SPRAWIEDLIWOŚĆ;3;5;ADAMOWICZ Jerzy Jan;Morawa;54
KW PRAWO I SPRAWIEDLIWOŚĆ;3;6;PODSIADŁO Elżbieta;Rogoźnica;67
KW PRAWO I SPRAWIEDLIWOŚĆ;3;7;DAWIDOWSKA Grażyna;Godzieszówek;59
KW PRAWO I SPRAWIEDLIWOŚĆ;3;8;PERHUN Martyna Kamila;Żółkiewka;25
KW PRAWO I SPRAWIEDLIWOŚĆ;3;9;LEITNER Czesława Teresa;Strzegom;72
KWW WWITKOWSKI;1;1;SOCHOCKA-SUCHARA Izabela Marta;Strzegom;46
KWW WWITKOWSKI;1;2;DOBROCHOWSKI Marek Adam;Strzegom;41
KWW WWITKOWSKI;1;3;KAROŃ Kamila Monika;Strzegom;32
KWW WWITKOWSKI;1;4;JASZOWSKI Krystian;Strzegom;26
KWW WWITKOWSKI;1;5;KIMMEL Małgorzata Anna;Strzegom;42
KWW WWITKOWSKI;1;6;CZYCZERSKI Tomasz Piotr;Strzegom;32
KWW WWITKOWSKI;1;7;WRÓBEL Maksymiliana Weronika;Strzegom;34
KWW WWITKOWSKI;1;8;JANKOWSKA Natalia Katarzyna;Strzegom;25
KWW WWITKOWSKI;2;1;WÓJTOWICZ Iwona Anna;Strzegom;52
KWW WWITKOWSKI;2;2;WITKOWSKI Wiesław Robert;Strzegom;50
KWW WWITKOWSKI;2;3;MAŃSKA Gabriela Mariola;Strzegom;51
KWW WWITKOWSKI;2;4;WÓJTOWICZ Robert Przemysław;Strzegom;50
KWW WWITKOWSKI;2;5;LENC Joanna;Strzegom;44
KWW WWITKOWSKI;2;6;OLIWA Michał Robert;Strzegom;20
KWW WWITKOWSKI;2;7;GOŁĘBIOWSKA Ewelina Barbara;Strzegom;33
KWW WWITKOWSKI;2;8;RODAK Mateusz Paweł;Strzegom;33
KWW WWITKOWSKI;2;9;BERESTECKI Norbert;Strzegom;23
KWW WWITKOWSKI;3;1;HAŁAJEC Małgorzata;Rogoźnica;50
KWW WWITKOWSKI;3;2;CZAPLA Michał Szymon;Jaroszów;36
KWW WWITKOWSKI;3;3;BARWAŚNA Beata;Strzegom;52
KWW WWITKOWSKI;3;4;GIL Łukasz Marcin;Olszany;42
KWW WWITKOWSKI;3;5;CZARKA Ewa Magdalena;Granica;40
KWW WWITKOWSKI;3;6;CICHOŃ Katarzyna;Stanowice;32
KWW WWITKOWSKI;3;7;IWANICKA Monika Katarzyna;Goczałków;44
KWW WWITKOWSKI;3;8;WOCH Wojciech Jakub;Bartoszówek;34
KWW WWITKOWSKI;3;9;WITKOWSKA Anita;Międzyrzecze;37
KWW WWITKOWSKI;3;10;WÓJTOWICZ Dawid Michał;Kostrza;22
